time,open,high,low,close,tick_volume,spread,real_volume,time_iso
2025-10-01 06:30:00,114411.29,114454.8,114335.66,114406.19,1483,1800,0,2025-10-01 06:30:00
2025-10-01 06:35:00,114405.82,114467.09,114382.56,114461.83,1420,1800,0,2025-10-01 06:35:00
2025-10-01 06:40:00,114470.8,114573.97,114449.31,114531.17,1579,1800,0,2025-10-01 06:40:00
2025-10-01 06:45:00,114531.8,114540.4,114291.65,114367.24,1766,1800,0,2025-10-01 06:45:00
2025-10-01 06:50:00,114367.12,114375.83,114261.24,114261.24,1658,1800,0,2025-10-01 06:50:00
2025-10-01 06:55:00,114261.24,114332.05,114240.46,114292.02,1647,1800,0,2025-10-01 06:55:00
2025-10-01 07:00:00,114291.97,114435.04,114253.17,114404.32,1622,1800,0,2025-10-01 07:00:00
2025-10-01 07:05:00,114405.27,114459.56,114343.86,114371.02,1681,1800,0,2025-10-01 07:05:00
2025-10-01 07:10:00,114370.8,114422.35,114342.89,114394.42,1492,1800,0,2025-10-01 07:10:00
2025-10-01 07:15:00,114394.48,114549.71,114381.81,114502.37,1696,1800,0,2025-10-01 07:15:00
2025-10-01 07:20:00,114502.64,114532.09,114447.86,114492.65,1623,1800,0,2025-10-01 07:20:00
2025-10-01 07:25:00,114492.69,114628.5,114492.51,114582.39,1435,1800,0,2025-10-01 07:25:00
2025-10-01 07:30:00,114583.2,114616.97,114535.82,114580.07,1553,1800,0,2025-10-01 07:30:00
2025-10-01 07:35:00,114580.65,114595.24,114468.31,114479.36,1525,1800,0,2025-10-01 07:35:00
2025-10-01 07:40:00,114479.88,114585.43,114475.48,114553.58,1537,1800,0,2025-10-01 07:40:00
2025-10-01 07:45:00,114553.42,114585.22,114524.52,114545.42,1442,1800,0,2025-10-01 07:45:00
2025-10-01 07:50:00,114545.0,114568.71,114515.09,114561.04,1447,1800,0,2025-10-01 07:50:00
2025-10-01 07:55:00,114561.07,114632.55,114542.71,114563.61,1541,1800,0,2025-10-01 07:55:00
2025-10-01 08:00:00,114563.56,114591.3,114505.68,114577.02,1525,1800,0,2025-10-01 08:00:00
2025-10-01 08:05:00,114577.28,114644.15,114539.08,114554.68,1538,1800,0,2025-10-01 08:05:00
2025-10-01 08:10:00,114556.47,114630.03,114524.9,114616.76,1611,1800,0,2025-10-01 08:10:00
2025-10-01 08:15:00,114621.29,114773.17,114581.53,114766.88,1637,1800,0,2025-10-01 08:15:00
2025-10-01 08:20:00,114762.1,115087.1,114667.08,114697.6,1967,1800,0,2025-10-01 08:20:00
2025-10-01 08:25:00,114697.92,115147.58,114694.64,115118.44,2090,1800,0,2025-10-01 08:25:00
2025-10-01 08:30:00,115112.47,115366.05,115112.47,115220.01,2234,1800,0,2025-10-01 08:30:00
2025-10-01 08:35:00,115219.35,115454.55,115204.95,115386.94,2041,1800,0,2025-10-01 08:35:00
2025-10-01 08:40:00,115386.94,115736.22,115322.72,115665.43,2186,1800,0,2025-10-01 08:40:00
2025-10-01 08:45:00,115670.29,116258.61,115502.27,116258.61,2297,1800,0,2025-10-01 08:45:00
2025-10-01 08:50:00,116250.97,116658.17,115997.17,116141.71,2858,1800,0,2025-10-01 08:50:00
2025-10-01 08:55:00,116141.71,116251.42,116032.96,116152.92,2034,1800,0,2025-10-01 08:55:00
2025-10-01 09:00:00,116152.72,116255.06,115975.08,116026.12,2008,1800,0,2025-10-01 09:00:00
2025-10-01 09:05:00,116024.8,116320.08,116004.97,116264.51,1980,1800,0,2025-10-01 09:05:00
